range,mill,diff100m,eta
1300,1509,0.6,54.3
1400,1502,0.7,54.3
1500,1494,0.7,54.2
1600,1487,0.8,54.2
1700,1480,0.8,54.1
1800,1473,0.9,54.1
1900,1466,0.9,54
2000,1458,1,54
2100,1451,1.1,53.9
2200,1444,1.1,53.9
2300,1436,1.2,53.8
2400,1429,1.2,53.7
2500,1422,1.3,53.7
2600,1414,1.4,53.6
2700,1407,1.4,53.5
2800,1399,1.5,53.5
2900,1392,1.6,53.4
3000,1384,1.6,53.3
3100,1376,1.7,53.2
3200,1368,1.8,53.1
3300,1361,1.8,53
3400,1353,1.9,52.9
3500,1345,2,52.8
3600,1337,2.1,52.7
3700,1329,2.2,52.6
3800,1321,2.3,52.5
3900,1312,2.4,52.4
4000,1304,2.5,52.2
4100,1296,2.6,52.1
4200,1287,2.7,52
4300,1278,2.8,51.8
4400,1270,2.9,51.7
4500,1261,3,51.5
4600,1252,3.1,51.4
4700,1243,3.3,51.2
4800,1234,3.4,51
4900,1224,3.6,50.8
5000,1215,3.7,50.7
5100,1205,3.9,50.5
5200,1195,4.1,50.3
5300,1185,4.3,50.1
5400,1175,4.5,49.8
5500,1164,4.7,49.6
5600,1154,5,49.4
5700,1142,5.3,49.1
5800,1131,5.6,48.8
5900,1119,5.9,48.6
6000,1107,6.3,48.3
6100,1095,6.7,47.9
6200,1082,7.2,47.6
6300,1068,7.7,47.2
6400,1054,8.3,46.9
6500,1039,9.1,46.4
6600,1023,10,46
6700,1006,11.1,45.5
6800,987,12.5,44.9
6900,966,14.4,44.3
7000,943,17.1,43.6
7100,915,21.5,42.7
7200,878,30.5,41.4
