range,mill,diff100m,eta
200,42,,1.3
250,53,,1.6
300,63,,2.0
350,74,,2.3
400,85,,2.6
450,95,,2.9
500,106,,3.3
550,117,,3.6
600,128,,3.9
650,139,,4.3
700,150,,4.6
750,161,,4.9
800,172,-130.3,5.3
850,183,-123.2,5.6
900,194,-116.9,6.0
950,206,-111.3,6.3
1000,217,-106.3,6.6
1050,229,-101.8,7.0
1100,241,-97.8,7.4
1150,253,-94.1,7.7
1200,265,-90.8,8.1
1250,277,-87.8,8.4
1300,289,-85.1,8.8
1350,302,-82.7,9.2
1400,315,-80.5,9.5
1450,328,-78.5,9.9
1500,341,-76.7,10.3
1550,355,-75.0,10.7
1600,369,-73.6,11.1
1650,383,-72.4,11.5
1700,398,-71.3,11.9
1750,413,-70.4,12.4
1800,428,-69.7,12.8
1850,444,-69.2,13.3
1900,461,-68.8,13.7
1950,479,-68.4,14.2
2000,497,-69.0,14.7
2050,516,-69.6,15.2
2100,537,-70.6,15.8
2150,559,-72.2,16.4
2200,583,-74.2,17.0
2250,611,-78.4,17.7
2300,642,-84.1,18.5
2350,681,-95.3,19.5
2400,743,-123.8,20.9
