range,mill,diff100m,eta
1100,36,,2.8
1200,40,,3.1
1300,43,,3.3
1400,46,,3.6
1500,50,,3.9
1600,53,,4.1
1700,56,,4.4
1800,60,,4.6
1900,63,,4.9
2000,66,,5.2
2100,70,,5.4
2200,73,,5.7
2300,76,,5.9
2400,80,-42.7,6.2
2500,83,-41.0,6.5
2600,86,-39.4,6.7
2700,90,-38.0,7.0
2800,93,-36.7,7.2
2900,96,-35.4,7.5
3000,100,-34.3,7.8
3100,103,-33.2,8.0
3200,107,-32.2,8.3
3300,110,-31.2,8.5
3400,113,-30.3,8.8
3500,117,-29.4,9.1
3600,120,-28.7,9.3
3700,123,-27.9,9.6
3800,127,-27.2,9.8
3900,130,-26.5,10.1
4000,134,-25.9,10.4
4100,137,-25.3,10.6
4200,141,-24.7,10.9
4300,144,-24.2,11.2
4400,147,-23.6,11.4
4500,151,-23.1,11.7
4600,154,-22.6,12.0
4700,158,-22.2,12.2
4800,161,-21.8,12.5
4900,165,-21.3,12.8
5000,168,-21.0,13.0
5100,172,-20.6,13.3
5200,175,-20.2,13.6
5300,179,-19.8,13.8
5400,182,-19.5,14.1
5500,186,-19.1,14.4
5600,189,-18.8,14.7
5700,193,-18.4,14.9
5800,196,-18.0,15.2
5900,200,-18.0,15.5
6000,204,-17.7,15.7
6100,207,-17.4,16.0
6200,211,-17.2,16.3
6300,214,-16.9,16.6
6400,218,-16.7,16.8
6500,222,-16.4,17.1
6600,225,-16.2,17.4
6700,229,-16.0,17.7
6800,233,-15.8,18.0
6900,236,-15.6,18.3
7000,240,-15.4,18.5
7100,244,-15.2,18.8
7200,248,-15.0,19.1
7300,251,-14.9,19.4
7400,255,-14.7,19.6
7500,259,-14.6,19.9
7600,263,-14.4,20.2
7700,266,-14.2,20.5
7800,270,-14.1,20.8
7900,274,-13.9,21.1
8000,278,-13.8,21.4
8100,282,-13.7,21.7
8200,286,-13.5,21.9
8300,290,-13.4,22.2
8400,294,-13.3,22.5
8500,297,-13.2,22.8
8600,301,-13.1,23.1
8700,305,-13.0,23.4
8800,309,-12.8,23.7
8900,313,-12.8,24.0
9000,318,-12.6,24.3
9100,322,-12.5,24.6
9200,326,-12.5,24.9
9300,330,-12.3,25.2
9400,334,-12.3,25.5
9500,338,-12.2,25.8
9600,342,-12.1,26.2
9700,347,-12.0,26.5
9800,351,-11.9,26.8
9900,355,-11.8,27.1
10000,360,-11.8,27.4
10100,364,-11.7,27.7
10200,368,-11.6,28.0
10300,373,-11.6,28.4
10400,377,-11.5,28.7
10500,382,-11.5,29.0
10600,386,-11.4,29.3
10700,391,-11.4,29.7
10800,395,-11.3,30.0
10900,400,-11.3,30.3
11000,405,-11.2,30.7
11100,409,-11.2,31.0
11200,414,-11.1,31.4
11300,419,-11.1,31.7
11400,424,-11.1,32.1
11500,429,-11.1,32.4
11600,434,-11.0,32.8
11700,439,-11.0,33.1
11800,444,-11.0,33.5
11900,449,-11.0,33.8
12000,454,-11.0,34.2
12100,460,-11.0,34.6
12200,465,-11.0,35.0
12300,471,-11.0,35.3
12400,476,-11.0,35.7
12500,482,-11.0,36.1
12600,487,-11.0,36.5
12700,493,-11.0,36.9
12800,499,-11.0,37.3
12900,505,-11.0,37.7
13000,511,-11.0,38.1
13100,517,-11.0,38.6
13200,524,-11.3,39.0
13300,530,-11.3,39.4
13400,537,-11.4,39.9
13500,543,-11.5,40.3
13600,550,-11.6,40.8
13700,558,-11.7,41.3
13800,565,-11.9,41.7
13900,572,-12.0,42.2
14000,580,-12.2,42.8
14100,588,-12.4,43.3
14200,596,-12.6,43.8
14300,605,-12.8,44.3
14400,614,-13.0,44.9
14500,624,-13.2,45.6
14600,634,-13.4,46.2
14700,644,-13.7,46.9
14800,656,-15.0,47.6
14900,668,-16.0,48.4
15000,682,-17.4,49.2
15100,697,-19.2,50.1
15200,715,-21.6,51.2
15300,738,-26.5,52.5
15400,778,-43.4,54.8
