range,mill,diff100m,eta
1500,1510,0.5,58.9
1600,1504,0.6,58.8
1700,1498,0.6,58.8
1800,1492,0.6,58.8
1900,1486,0.7,58.7
2000,1480,0.7,58.7
2100,1474,0.8,58.6
2200,1468,0.8,58.6
2300,1462,0.8,58.6
2400,1455,0.9,58.5
2500,1449,0.9,58.5
2600,1443,1.0,58.4
2700,1437,1.0,58.3
2800,1430,1.0,58.3
2900,1424,1.1,58.2
3000,1418,1.1,58.2
3100,1411,1.2,58.1
3200,1405,1.2,58.0
3300,1399,1.3,58.0
3400,1392,1.3,57.9
3500,1386,1.4,57.8
3600,1379,1.4,57.7
3700,1372,1.5,57.6
3800,1366,1.5,57.5
3900,1359,1.6,57.5
4000,1352,1.6,57.4
4100,1346,1.7,57.3
4200,1339,1.8,57.2
4300,1332,1.8,57.1
4400,1325,1.9,57.0
4500,1318,2.0,56.9
4600,1311,2.0,56.7
4700,1304,2.1,56.6
4800,1297,2.2,56.5
4900,1290,2.2,56.4
5000,1282,2.3,56.3
5100,1275,2.4,56.1
5200,1268,2.5,56.0
5300,1260,2.6,55.8
5400,1253,2.7,55.7
5500,1245,2.8,55.5
5600,1237,2.9,55.4
5700,1229,3.0,55.2
5800,1221,3.1,55.1
5900,1213,3.2,54.9
6000,1205,3.3,54.7
6100,1196,3.5,54.5
6200,1188,3.6,54.3
6300,1179,3.8,54.1
6400,1170,3.9,53.9
6500,1161,4.1,53.7
6600,1152,4.3,53.5
6700,1142,4.5,53.2
6800,1133,4.7,53.0
6900,1123,5.0,52.7
7000,1113,5.2,52.5
7100,1102,5.5,52.2
7200,1091,5.8,51.9
7300,1080,6.2,51.6
7400,1069,6.6,51.2
7500,1057,7.0,50.9
7600,1044,7.5,50.5
7700,1031,8.1,50.1
7800,1017,8.9,49.7
7900,1002,9.7,49.2
8000,986,10.8,48.7
8100,968,12.2,48.1
8200,949,14.1,47.4
8300,927,16.9,46.7
8400,900,21.5,45.7
8500,862,31.9,44.3
