range,mill,diff100m,eta
1200,39,,3.1
1300,42,,3.3
1400,45,,3.6
1500,49,,3.8
1600,52,,4.1
1700,55,,4.3
1800,58,,4.6
1900,61,,4.8
2000,65,,5.1
2100,68,,5.4
2200,71,,5.6
2300,75,,5.9
2400,78,,6.1
2500,81,-41,6.4
2600,84,-39.4,6.6
2700,88,-38,6.9
2800,91,-36.7,7.1
2900,94,-35.4,7.4
3000,97,-34.3,7.7
3100,101,-33.2,7.9
3200,104,-32.2,8.2
3300,107,-31.2,8.4
3400,111,-30.3,8.7
3500,114,-29.5,9
3600,117,-28.7,9.2
3700,121,-27.9,9.5
3800,124,-27.2,9.7
3900,127,-26.5,10
4000,131,-25.9,10.3
4100,134,-25.3,10.5
4200,137,-24.7,10.8
4300,141,-24.1,11
4400,144,-23.6,11.3
4500,147,-23.1,11.6
4600,151,-22.6,11.8
4700,154,-22.2,12.1
4800,157,-21.7,12.4
4900,161,-21.3,12.6
5000,164,-20.9,12.9
5100,168,-20.5,13.1
5200,171,-20.2,13.4
5300,175,-19.8,13.7
5400,178,-19.5,13.9
5500,181,-19.1,14.2
5600,185,-18.8,14.5
5700,188,-18.5,14.7
5800,192,-18.2,15
5900,195,-17.9,15.3
6000,199,-17.7,15.6
6100,202,-17.4,15.8
6200,206,-17.1,16.1
6300,209,-16.9,16.4
6400,213,-16.7,16.6
6500,216,-16.4,16.9
6600,223,-16.2,17.2
6700,223,-16,17.5
6800,227,-15.8,17.7
6900,231,-15.6,18
7000,234,-15.4,18.3
7100,238,-15.2,18.6
7200,241,-15,18.8
7300,245,-14.8,19.1
7400,249,-14.7,19.4
7500,252,-14.5,19.7
7600,256,-14.3,20
7700,260,-14.2,20.2
7800,263,-14,20.5
7900,267,-13.9,20.8
8000,271,-13.7,21.1
8100,275,-13.6,21.4
8200,278,-13.5,21.7
8300,282,-13.3,21.9
8400,286,-13.2,22.2
8500,290,-13.1,22.5
8600,294,-13,22.8
8700,298,-12.9,23.1
8800,301,-12.8,23.4
8900,305,-12.6,23.7
9000,309,-12.5,24
9100,313,-12.4,24.3
9200,317,-12.3,24.6
9300,321,-12.2,24.9
9400,325,-12.2,25.2
9500,329,-12.1,25.5
9600,333,-12,25.8
9700,337,-11.9,26.1
9800,341,-11.8,26.4
9900,346,-11.7,26.7
10000,350,-11.7,27
10100,354,-11.6,27.3
10200,358,-11.5,27.6
10300,362,-11.5,27.9
10400,367,-11.4,28.3
10500,371,-11.3,28.6
10600,375,-11.3,28.9
10700,380,-11.2,29.2
10800,384,-11.2,29.5
10900,389,-11.1,29.9
11000,393,-11.1,30.2
11100,398,-11,30.5
11200,402,-11,30.9
11300,407,-10.9,31.2
11400,411,-10.9,31.5
11500,416,-10.9,31.9
11600,421,-10.8,32.2
11700,426,-10.8,32.5
11800,430,-10.8,32.9
11900,435,-10.8,33.2
12000,440,-10.8,33.6
12100,445,-10.7,34
12200,450,-10.7,34.3
12300,455,-10.7,34.7
12400,461,-10.7,35.1
12500,466,-10.7,35.4
12600,471,-10.7,35.8
12700,477,-10.7,36.2
12800,482,-10.7,36.6
12900,488,-10.8,37
13000,493,-10.8,37.4
13100,499,-10.8,37.8
13200,505,-10.9,38.2
13300,511,-10.9,38.6
13400,517,-10.9,39
13500,523,-11,39.4
13600,529,-11.1,39.8
13700,536,-11.1,40.3
13800,543,-11.2,40.7
13900,549,-11.3,41.2
14000,556,-11.4,41.7
14100,563,-11.6,42.1
14200,571,-11.7,42.6
14300,578,-11.9,43.1
14400,586,-12.1,43.6
14500,594,-12.3,44.2
14600,602,-12.5,44.7
14700,611,-12.8,45.3
14800,620,-13.2,45.9
14900,630,-13.6,46.5
15000,640,-14.1,47.1
15100,651,-14.7,47.8
15200,662,-15.4,48.6
15300,675,-16.4,49.3
15400,689,-17.7,50.2
15500,705,-19.7,51.2
15600,724,-22.9,52.4
15700,751,-29.8,53.9
