range,mill,diff100m,eta
2800,1509,0.3,79.9
2900,1506,0.3,79.9
3000,1503,0.3,79.9
3100,1499,0.3,79.8
3200,1496,0.3,79.8
3300,1493,0.3,79.7
3400,1489,0.4,79.7
3500,1486,0.4,79.7
3600,1483,0.4,79.7
3700,1479,0.4,79.6
3800,1476,0.4,79.6
3900,1473,0.4,79.6
4000,1469,0.4,79.5
4100,1466,0.4,79.5
4200,1463,0.5,79.4
4300,1459,0.5,79.4
4400,1456,0.5,79.4
4500,1453,0.5,79.3
4600,1449,0.5,79.3
4700,1446,0.5,79.3
4800,1443,0.6,79.2
4900,1439,0.5,79.2
5000,1436,0.6,79.2
5100,1432,0.6,79.1
5200,1429,0.6,79.1
5300,1425,0.6,79.0
5400,1422,0.6,79.0
5500,1419,0.6,78.9
5600,1415,0.6,78.9
5700,1412,0.6,78.8
5800,1408,0.7,78.8
5900,1405,0.7,78.8
6000,1401,0.7,78.7
6100,1398,0.7,78.6
6200,1394,0.7,78.6
6300,1391,0.7,78.3
6400,1387,0.7,78.5
6500,1384,0.8,78.4
6600,1380,0.8,78.3
6700,1377,0.8,78.2
6800,1373,0.8,78.2
6900,1369,0.8,78.1
7000,1366,0.8,78.1
7100,1362,0.9,78.0
7200,1359,0.9,78.0
7300,1355,0.9,77.9
7400,1351,0.9,77.8
7500,1348,1.0,77.8
7600,1344,1.0,77.7
7700,1340,1.0,77.6
7800,1337,1.0,77.5
7900,1333,1.0,77.5
8000,1329,1.0,77.4
8100,1325,1.0,77.3
8200,1322,1.1,77.2
8300,1318,1.1,77.1
8400,1314,1.1,77.1
8500,1310,1.1,77.0
8600,1306,1.1,76.9
8700,1302,1.2,76.8
8800,1299,1.2,76.7
8900,1295,1.2,76.5
9000,1291,1.2,76.5
9100,1287,1.2,76.4
9200,1283,1.3,76.4
9300,1279,1.3,76.3
9400,1275,1.3,76.2
9500,1271,1.3,76.1
9600,1267,1.4,76.0
9700,1263,1.4,75.9
9800,1259,1.4,75.7
9900,1254,1.5,75.6
10000,1250,1.5,75.5
10100,1246,1.5,75.4
10200,1242,1.5,75.3
10300,1238,1.6,75.1
10400,1233,1.6,75.1
10500,1229,1.6,74.9
10600,1225,1.7,74.8
10700,1220,1.7,74.7
10800,1216,1.7,74.6
10900,1211,1.8,74.4
11000,1207,1.8,74.3
11100,1202,1.8,74.2
11200,1198,1.9,74.0
11300,1193,1.9,73.9
11400,1189,2.0,73.8
11500,1184,2.0,73.6
11600,1179,2.1,73.4
11700,1174,2.1,73.3
11800,1170,2.2,73.2
11900,1165,2.2,73.0
12000,1160,2.3,72.9
12100,1155,2.3,72.7
12200,1150,2.4,72.5
12300,1145,2.4,72.3
12400,1139,2.5,72.1
12500,1134,2.6,72.0
12600,1129,2.6,71.8
12700,1123,2.7,71.6
12800,1118,2.8,71.4
12900,1112,2.9,71.2
13000,1107,3.0,70.8
13100,1101,3.0,70.4
13200,1095,3.1,70.3
13300,1089,3.2,70.3
13400,1083,3.3,70.1
13500,1077,3.5,69.9
13600,1071,3.6,69.6
13700,1064,3.7,69.4
13800,1057,3.9,69.1
13900,1051,4.0,68.8
14000,1044,4.2,68.5
14100,1037,4.3,68.3
14200,1029,4.5,68.0
14300,1022,4.8,67.6
14400,1014,5.0,67.3
14500,1006,5.3,67.0
14600,998,5.6,66.5
14700,989,5.9,66.2
14800,980,6.2,65.8
14900,970,6.7,65.4
15000,960,7.3,64.9
15100,949,7.9,64.4
15200,938,8.7,63.8
15300,925,9.7,63.2
15400,911,11.0,62.5
15500,895,13.1,61.8
15600,876,16.4,60.8
15700,849,23.4,59.4
