range,mill,diff100m,eta
900,38,-,2.6
1000,42,-,2.9
1100,46,-,3.2
1200,50,-,3.5
1300,55,-,3.8
1400,59,-,4.1
1500,63,-,4.4
1600,67,-,4.6
1700,72,-,4.9
1800,76,-,5.2
1900,80,-,5.5
2000,84,-,5.8
2100,89,-48.8,6.1
2200,93,-46.7,6.4
2300,97,-44.7,6.7
2400,101,-42.8,7.0
2500,106,-41.2,7.3
2600,110,-39.6,7.6
2700,114,-38.2,7.9
2800,119,-36.9,8.2
2900,123,-35.6,8.5
3000,127,-34.5,8.8
3100,132,-33.4,9.1
3200,136,-32.4,9.4
3300,140,-31.5,9.7
3400,145,-30.6,10.0
3500,149,-29.7,10.3
3600,153,-28.9,10.6
3700,158,-28.2,10.9
3800,162,-27.5,11.2
3900,167,-26.8,11.5
4000,171,-26.2,11.8
4100,175,-25.6,12.1
4200,180,-25.0,12.4
4300,184,-24.5,12.7
4400,189,-24.0,13.0
4500,193,-23.5,13.3
4600,198,-23.0,13.6
4700,203,-22.6,13.9
4800,207,-22.2,14.2
4900,212,-21.7,14.5
5000,216,-21.4,14.9
5100,221,-21.0,15.1
5200,225,-20.6,15.4
5300,230,-20.3,15.8
5400,235,-19.9,16.1
5500,240,-19.6,16.4
5600,244,-19.3,16.7
5700,249,-19.0,17.0
5800,254,-18.8,17.3
5900,259,-18.5,17.7
6000,263,-18.3,18.0
6100,268,-18.0,18.3
6200,273,-17.8,18.6
6300,278,-17.6,19.0
6400,283,-17.3,19.3
6500,288,-17.1,19.6
6600,293,-16.9,19.9
6700,298,-16.7,20.3
6800,303,-16.5,20.6
6900,308,-16.2,21.0
7000,313,-16.0,21.3
7100,318,-16.0,21.6
7200,323,-15.8,22.0
7300,329,-15.7,22.3
7400,334,-15.5,22.7
7500,339,-15.4,23.0
7600,345,-15.3,23.4
7700,350,-15.1,23.7
7800,355,-15.0,24.1
7900,361,-14.9,24.4
8000,367,-14.8,24.8
8100,372,-14.7,25.1
8200,378,-14.6,25.5
8300,384,-14.5,25.9
8400,389,-14.3,26.2
8500,395,-14.3,26.6
8600,401,-14.3,27.0
8700,407,-14.2,27.4
8800,413,-14.2,27.8
8900,419,-14.0,28.1
9000,425,-14.0,28.5
9100,432,-14.0,28.9
9200,438,-14.0,29.3
9300,445,-13.9,29.7
9400,451,-13.9,30.2
9500,458,-13.9,30.6
9600,465,-13.9,31.0
9700,472,-14.0,31.4
9800,479,-14.0,31.9
9900,486,-14.0,32.3
10000,493,-14.0,32.7
10100,501,-14.1,33.2
10200,508,-14.1,33.7
10300,516,-14.2,34.1
10400,524,-14.3,34.6
10500,532,-14.4,35.1
10600,541,-14.5,35.6
10700,550,-14.7,36.2
10800,559,-14.9,36.7
10900,568,-15.1,37.2
11000,578,-15.4,37.8
11100,588,-15.7,38.4
11200,599,-16.1,39.0
11300,610,-16.5,39.6
11400,622,-17.0,40.3
11500,634,-17.8,41.0
11600,648,-18.7,41.8
11700,663,-19.9,42.6
11800,680,-21.6,43.5
11900,699,-24.2,44.6
12000,723,-28.8,45.9
12100,760,-41.2,47.8
