range,mill,diff100m,eta
22400,1172,,101.0
22500,1170,1.1,101.0
22600,1167,1.2,101.0
22700,1165,1.2,101.0
22800,1162,1.2,101.0
22900,1159,1.2,101.0
23000,1157,1.2,101.0
23100,1154,1.2,100.0
23200,1151,1.2,100.0
23300,1149,1.3,100.0
23400,1146,1.3,100.0
23500,1143,1.3,99.8
23600,1141,1.3,99.7
23700,1138,1.3,99.6
23800,1135,1.3,99.4
23900,1132,1.4,99.3
24000,1130,1.4,99.2
24100,1127,1.4,99.0
24200,1124,1.4,98.9
24300,1121,1.4,98.8
24400,1118,1.5,98.3
24500,1115,1.5,98.6
24600,1112,1.5,98.3
24700,1109,1.5,98.2
24800,1106,1.6,98.3
24900,1103,1.6,97.9
25000,1100,1.6,97.7
25100,1097,1.6,97.4
25200,1094,1.7,97.3
25300,1091,1.7,97.2
25400,1088,1.7,97.0
25500,1085,1.8,96.9
25600,1082,1.8,96.7
25700,1078,1.8,96.6
25800,1075,1.8,96.4
25900,1072,1.9,96.2
26000,1068,1.9,96.0
26100,1065,2.0,95.8
26200,1062,2.0,95.7
26300,1058,2.0,95.5
26400,1055,2.1,95.3
26500,1051,2.1,95.1
26600,1047,2.2,94.9
26700,1044,2.2,94.7
26800,1040,2.3,94.5
26900,1036,2.3,94.2
27000,1033,2.4,94.0
27100,1029,2.4,93.8
27200,1025,2.5,93.6
27300,1021,2.5,93.3
27400,1017,2.6,93.1
27500,1013,2.7,92.9
27600,1008,2.8,92.6
27700,1004,2.8,92.3
27800,1000,2.9,92.1
27900,995,3.0,91.8
28000,991,3.1,91.5
28100,986,3.2,91.2
28200,981,3.3,90.9
28300,976,3.4,90.6
28400,973,3.6,90.4
28500,966,3.7,90.0
28600,961,3.9,89.7
28700,955,4.1,89.3
28800,949,4.2,88.9
28900,943,4.5,88.5
29000,937,4.7,88.1
29100,931,5.0,87.7
29200,924,5.3,87.2
29300,916,5.7,86.7
29400,909,6.2,86.2
29500,900,6.7,85.7
29600,892,7.5,85.0
29700,881,8.8,84.3
29800,870,9.9,83.5
29900,856,12.1,82.5
