range,mill,diff100m,eta
550,96,,3.2
600,104,,3.5
650,113,,3.8
700,122,,4.1
750,131,,4.4
800,140,,4.8
850,149,,5.1
900,158,,5.4
950,167,,5.7
1000,176,,6.0
1050,186,,6.3
1100,195,-95.8,6.6
1150,204,-92.0,6.9
1200,214,-88.6,7.2
1250,223,-85.4,7.5
1300,233,-82.3,7.9
1350,242,-79.8,8.2
1400,252,-77.4,8.5
1450,262,-75.4,8.8
1500,272,-73.1,9.1
1550,282,-71.4,9.5
1600,292,-69.4,9.8
1650,303,-67.8,10.2
1700,313,-66.3,10.5
1750,324,-64.9,10.8
1800,335,-63.6,11.2
1850,346,-62.5,11.5
1900,357,-61.4,11.9
1950,368,-60.5,12.3
2000,380,-59.6,12.6
2050,392,-58.0,13.0
2100,404,-58.2,13.4
2150,416,-57.7,13.8
2200,429,-57.2,14.2
2250,442,-56.9,14.6
2300,456,-56.7,15.0
2350,470,-56.6,15.4
2400,485,-56.7,15.9
2450,500,-56.0,16.3
2500,516,-57.3,16.8
2550,533,-58.0,17.3
2600,550,-58.9,17.8
2650,569,-60.5,18.4
2700,590,-62.5,19.0
2750,613,-65.4,19.7
2800,638,-69.6,20.3
2850,669,-76.9,21.2
2900,709,-89.8,22.1
