range,mill,diff100m,eta
10600,1173,,69.7
10700,1168,2.4,69.5
10800,1163,2.5,69.3
10900,1157,2.5,69.2
11000,1151,2.6,69.0
11100,1146,2.7,68.8
11200,1140,2.8,68.6
11300,1134,2.8,68.4
11400,1128,2.9,68.2
11500,1123,3.0,68.0
11600,1118,3.1,67.8
11700,1110,3.2,67.6
11800,1104,3.3,67.4
11900,1097,3.4,67.2
12000,1091,3.5,66.9
12100,1084,3.7,66.7
12200,1077,3.8,66.5
12300,1070,4.0,66.2
12400,1063,4.1,65.9
12500,1056,4.3,65.7
12600,1048,4.5,65.4
12700,1041,4.7,65.1
12800,1033,4.9,64.7
12900,1024,5.2,64.4
13000,1016,5.4,64.1
13100,1007,5.8,63.7
13200,998,6.1,63.3
13300,988,6.8,62.9
13400,978,7.0,62.5
13500,967,7.3,62.0
13600,956,8.3,61.5
13700,944,9.1,61.0
13800,930,10.1,60.4
13900,915,11.7,59.7
14000,898,13.9,58.9
14100,877,17.5,57.9
14200,848,25.7,56.4
