range,mill,diff100m,eta
300,89,,2.3
350,104,,2.7
400,119,,3.1
450,134,,3.5
500,150,,3.9
550,165,,4.3
600,181,,4.7
650,197,,5.1
700,213,,5.5
750,229,,5.9
800,246,-134.3,6.3
850,262,-127.6,6.8
900,280,-121.8,7.2
950,297,-116.7,7.6
1000,315,-112.3,8.1
1050,333,-108.4,8.5
1100,352,-105.1,9.0
1150,372,-102.3,9.5
1200,392,-99.0,10.0
1250,413,-98.0,10.5
1300,435,-96.7,11.0
1350,458,-95.8,11.5
1400,482,-95.6,12.1
1450,509,-96.1,12.7
1500,537,-97.7,13.3
1550,569,-100.7,14.1
1600,605,-106.2,14.8
1650,650,-116.5,15.8
1700,714,-141.8,17.1
